from:s1;to:s2;distance:2
from:s2;to:s3;distance:4
from:s3;to:s4;distance:6
from:s4;to:s5;distance:8
from:s5;to:s6;distance:10
from:s6;to:s7;distance:12
from:s7;to:s8;distance:14
from:s8;to:s9;distance:16
from:s9;to:s10;distance:18
from:s10;to:s11;distance:20
from:s11;to:s12;distance:22
from:s12;to:s13;distance:24
from:s13;to:s14;distance:26
from:s14;to:s15;distance:28
from:s15;to:s16;distance:30
from:s16;to:s17;distance:32
from:s17;to:s18;distance:34
from:s18;to:s19;distance:36
from:s19;to:s20;distance:38
from:s20;to:s21;distance:40
from:s21;to:s22;distance:42
from:s22;to:s23;distance:44
from:s23;to:s24;distance:46
from:s24;to:s25;distance:48
from:s25;to:s26;distance:50
from:s26;to:s27;distance:52
from:s27;to:s28;distance:54
from:s28;to:s29;distance:56
from:s29;to:s30;distance:58
from:s30;to:s31;distance:60
from:s31;to:s32;distance:62
from:s32;to:s33;distance:64
from:s33;to:s34;distance:66
from:s34;to:s35;distance:68
from:s35;to:s36;distance:70
from:s36;to:s37;distance:72
from:s37;to:s38;distance:74
from:s38;to:s39;distance:76
from:s39;to:s40;distance:78
from:s40;to:s41;distance:80
from:s41;to:s42;distance:82
from:s42;to:s43;distance:84
from:s43;to:s44;distance:86
from:s44;to:s45;distance:88
from:s45;to:s46;distance:90
from:s46;to:s47;distance:92
from:s47;to:s48;distance:94
from:s48;to:s49;distance:96
from:s49;to:s50;distance:98
from:s50;to:s51;distance:100
from:s51;to:s52;distance:102
from:s52;to:s53;distance:104
from:s53;to:s54;distance:106
from:s54;to:s55;distance:108
from:s55;to:s56;distance:110
from:s56;to:s57;distance:112
from:s57;to:s58;distance:114
from:s58;to:s59;distance:116
from:s59;to:s60;distance:118
from:s60;to:s61;distance:120
from:s61;to:s62;distance:122
from:s62;to:s63;distance:124
from:s63;to:s64;distance:126
from:s64;to:s65;distance:128
from:s65;to:s66;distance:130
from:s66;to:s67;distance:132
from:s67;to:s68;distance:134
from:s68;to:s69;distance:136
from:s69;to:s70;distance:138
from:s70;to:s71;distance:140
from:s71;to:s72;distance:142
from:s72;to:s73;distance:144
from:s73;to:s74;distance:146
from:s74;to:s75;distance:148
from:s75;to:s76;distance:150
from:s76;to:s77;distance:152
from:s77;to:s78;distance:154
from:s78;to:s79;distance:156
from:s79;to:s80;distance:158
from:s80;to:s81;distance:160
from:s81;to:s82;distance:162
from:s82;to:s83;distance:164
from:s83;to:s84;distance:166
from:s84;to:s85;distance:168
from:s85;to:s86;distance:170
from:s86;to:s87;distance:172
from:s87;to:s88;distance:174
from:s88;to:s89;distance:176
from:s89;to:s90;distance:178
from:s90;to:s91;distance:180
from:s91;to:s92;distance:182
from:s92;to:s93;distance:184
from:s93;to:s94;distance:186
from:s94;to:s95;distance:188
from:s95;to:s96;distance:190
from:s96;to:s97;distance:192
from:s97;to:s98;distance:194
from:s98;to:s99;distance:196
from:s99;to:s100;distance:198
from:s100;to:s101;distance:200
from:s101;to:s102;distance:202
from:s102;to:s103;distance:204
from:s103;to:s104;distance:206
from:s104;to:s105;distance:208
from:s105;to:s106;distance:210
from:s106;to:s107;distance:212
from:s107;to:s108;distance:214
from:s108;to:s109;distance:216
from:s109;to:s110;distance:218
from:s110;to:s111;distance:220
from:s111;to:s112;distance:222
from:s112;to:s113;distance:224
from:s113;to:s114;distance:226
from:s114;to:s115;distance:228
from:s115;to:s116;distance:230
from:s116;to:s117;distance:232
from:s117;to:s118;distance:234
from:s118;to:s119;distance:236
from:s119;to:s120;distance:238
from:s120;to:s121;distance:240
from:s121;to:s122;distance:242
from:s122;to:s123;distance:244
from:s123;to:s124;distance:246
from:s124;to:s125;distance:248
from:s125;to:s126;distance:250
from:s126;to:s127;distance:252
from:s127;to:s128;distance:254
from:s128;to:s129;distance:256
from:s129;to:s130;distance:258
from:s130;to:s131;distance:260
from:s131;to:s132;distance:262
from:s132;to:s133;distance:264
from:s133;to:s134;distance:266
from:s134;to:s135;distance:268
from:s135;to:s136;distance:270
from:s136;to:s137;distance:272
from:s137;to:s138;distance:274
from:s138;to:s139;distance:276
from:s139;to:s140;distance:278
from:s140;to:s141;distance:280
from:s141;to:s142;distance:282
from:s142;to:s143;distance:284
from:s143;to:s144;distance:286
from:s144;to:s145;distance:288
from:s145;to:s146;distance:290
from:s146;to:s147;distance:292
from:s147;to:s148;distance:294
